audio path,prompt,length
dataset\audio\MC01Session2wav_headMic0325.wav,We have a big house.,20
dataset\audio\MC03Session2wav_headMic0129.wav,We have a big house.,20
dataset\audio\FC03Session2wav_headMic0385.wav,We have a big house.,20
dataset\audio\FC02Session3wav_headMic0463.wav,We have a big house.,20
dataset\audio\M04Session2wav_headMic0253.wav,This was easy for us.,21
dataset\audio\M02Session1wav_headMic0141.wav,This was easy for us.,21
dataset\audio\MC01Session3wav_headMic0171.wav,We know we can score.,21
dataset\audio\MC02Session1wav_headMic0163.wav,This was easy for us.,21
dataset\audio\MC01Session1wav_headMic0140.wav,This was easy for us.,21
dataset\audio\F04Session2wav_headMic0014.wav,This was easy for us.,21
dataset\audio\FC02Session3wav_headMic0635.wav,We know we can score.,21
dataset\audio\MC04Session1wav_headMic0144.wav,This was easy for us.,21
dataset\audio\MC03Session1wav_headMic0252.wav,This was easy for us.,21
dataset\audio\MC01Session3wav_headMic0173.wav,We know we can score.,21
dataset\audio\FC03Session3wav_headMic0033.wav,We know we can score.,21
dataset\audio\F03Session1wav_headMic0152.wav,This was easy for us.,21
dataset\audio\MC01Session3wav_headMic0172.wav,We know we can score.,21
dataset\audio\M01Session2wav_headMic0105.wav,This was easy for us.,21
dataset\audio\M05Session2wav_headMic0019.wav,This was easy for us.,21
dataset\audio\M03Session2wav_headMic0168.wav,This was easy for us.,21
dataset\audio\FC03Session1wav_headMic0151.wav,This was easy for us.,21
dataset\audio\M02Session1wav_headMic0208.wav,Just one side got wet.,22
dataset\audio\FC02Session3wav_headMic0908.wav,Wages are a key issue.,22
dataset\audio\FC03Session2wav_headMic0372.wav,The sun died at night.,22
dataset\audio\M05Session2wav_headMic0122.wav,Just one side got wet.,22
dataset\audio\M04Session2wav_headMic0186.wav,Just one side got wet.,22
dataset\audio\FC03Session1wav_headMic0208.wav,Just one side got wet.,22
dataset\audio\MC04Session1wav_headMic0170.wav,Just one side got wet.,22
dataset\audio\M01Session2wav_headMic0086.wav,Just one side got wet.,22
dataset\audio\FC02Session3wav_headMic0469.wav,The sun died at night.,22
dataset\audio\MC03Session2wav_headMic0089.wav,The sun died at night.,22
dataset\audio\MC02Session1wav_headMic0128.wav,Just one side got wet.,22
dataset\audio\MC01Session3wav_headMic0020.wav,The sun died at night.,22
dataset\audio\MC01Session1wav_headMic0125.wav,Just one side got wet.,22
dataset\audio\MC03Session1wav_headMic0183.wav,Just one side got wet.,22
dataset\audio\M03Session2wav_headMic0209.wav,Just one side got wet.,22
dataset\audio\F03Session1wav_headMic0142.wav,Just one side got wet.,22
dataset\audio\MC04Session1wav_headMic0585.wav,Do they make any money?,23
dataset\audio\FC02Session3wav_headMic0637.wav,Try to work things out.,23
dataset\audio\FC02Session3wav_headMic0181.wav,He took me out one day.,23
dataset\audio\MC03Session1wav_headMic0451.wav,He took me out one day.,23
dataset\audio\FC03Session3wav_headMic0126.wav,It was a great meeting.,23
dataset\audio\MC01Session3wav_headMic0113.wav,Try to work things out.,23
dataset\audio\MC01Session3wav_headMic0214.wav,It was a great meeting.,23
dataset\audio\MC03Session1wav_headMic0550.wav,Do they make any money?,23
dataset\audio\F03Session3wav_headMic0052.wav,He took me out one day.,23
dataset\audio\FC03Session2wav_headMic0148.wav,Do they make any money?,23
dataset\audio\FC03Session3wav_headMic0099.wav,Try to work things out.,23
dataset\audio\FC03Session2wav_headMic0090.wav,He took me out one day.,23
dataset\audio\MC01Session2wav_headMic0112.wav,He took me out one day.,23
dataset\audio\MC01Session2wav_headMic0179.wav,Do they make any money?,23
dataset\audio\MC02Session2wav_headMic0077.wav,He took me out one day.,23
dataset\audio\FC02Session3wav_headMic0380.wav,Do they make any money?,23
dataset\audio\M05Session2wav_headMic0303.wav,He took me out one day.,23
dataset\audio\MC04Session1wav_headMic0494.wav,He took me out one day.,23
dataset\audio\FC02Session3wav_headMic0592.wav,It was a great meeting.,23
dataset\audio\FC02Session3wav_headMic0801.wav,She was really shook up.,24
dataset\audio\MC01Session2wav_headMic0117.wav,You want him to do well.,24
dataset\audio\MC01Session2wav_headMic0088.wav,You can ride stagecoach.,24
dataset\audio\FC02Session3wav_headMic0154.wav,You want him to do well.,24
dataset\audio\FC02Session3wav_headMic0127.wav,I have had my bell rung.,24
dataset\audio\MC03Session1wav_headMic0437.wav,You can ride stagecoach.,24
dataset\audio\MC03Session1wav_headMic0522.wav,He asked you for a loan.,24
dataset\audio\MC03Session1wav_headMic0421.wav,We bought a brown chair.,24
dataset\audio\F03Session3wav_headMic0105.wav,You can ride stagecoach.,24
dataset\audio\M01Session2wav_headMic0242.wav,I have had my bell rung.,24
dataset\audio\M05Session2wav_headMic0320.wav,We bought a brown chair.,24
dataset\audio\MC04Session1wav_headMic0418.wav,We bought a brown chair.,24
dataset\audio\MC02Session2wav_headMic0058.wav,You want him to do well.,24
dataset\audio\MC02Session2wav_headMic0069.wav,You can ride stagecoach.,24
dataset\audio\MC01Session2wav_headMic0167.wav,We bought a brown chair.,24
dataset\audio\FC02Session3wav_headMic0239.wav,You can ride stagecoach.,24
dataset\audio\M03Session2wav_headMic0400.wav,We bought a brown chair.,24
dataset\audio\F03Session3wav_headMic0174.wav,You want him to do well.,24
dataset\audio\F03Session3wav_headMic0044.wav,He asked you for a loan.,24
dataset\audio\MC03Session1wav_headMic0274.wav,I have had my bell rung.,24
dataset\audio\FC02Session3wav_headMic0211.wav,We bought a brown chair.,24
dataset\audio\FC03Session1wav_headMic0383.wav,I have had my bell rung.,24
