Audio path,Prompt path
dataset\audio\F01Session1wav_headMic0001.wav,dataset\prompts\F01Session1prompts0001.txt
dataset\audio\F01Session1wav_headMic0002.wav,dataset\prompts\F01Session1prompts0002.txt
dataset\audio\F01Session1wav_headMic0003.wav,dataset\prompts\F01Session1prompts0003.txt
dataset\audio\F01Session1wav_headMic0004.wav,dataset\prompts\F01Session1prompts0004.txt
dataset\audio\F01Session1wav_headMic0005.wav,dataset\prompts\F01Session1prompts0005.txt
dataset\audio\F01Session1wav_headMic0006.wav,dataset\prompts\F01Session1prompts0006.txt
dataset\audio\F01Session1wav_headMic0007.wav,dataset\prompts\F01Session1prompts0007.txt
dataset\audio\F01Session1wav_headMic0008.wav,dataset\prompts\F01Session1prompts0008.txt
dataset\audio\F01Session1wav_headMic0009.wav,dataset\prompts\F01Session1prompts0009.txt
dataset\audio\F01Session1wav_headMic0010.wav,dataset\prompts\F01Session1prompts0010.txt
dataset\audio\F01Session1wav_headMic0011.wav,dataset\prompts\F01Session1prompts0011.txt
dataset\audio\F01Session1wav_headMic0012.wav,dataset\prompts\F01Session1prompts0012.txt
dataset\audio\F01Session1wav_headMic0013.wav,dataset\prompts\F01Session1prompts0013.txt
dataset\audio\F01Session1wav_headMic0014.wav,dataset\prompts\F01Session1prompts0014.txt
dataset\audio\F01Session1wav_headMic0015.wav,dataset\prompts\F01Session1prompts0015.txt
dataset\audio\F01Session1wav_headMic0016.wav,dataset\prompts\F01Session1prompts0016.txt
dataset\audio\F01Session1wav_headMic0017.wav,dataset\prompts\F01Session1prompts0017.txt
dataset\audio\F01Session1wav_headMic0018.wav,dataset\prompts\F01Session1prompts0018.txt
dataset\audio\F01Session1wav_headMic0019.wav,dataset\prompts\F01Session1prompts0019.txt
dataset\audio\F01Session1wav_headMic0020.wav,dataset\prompts\F01Session1prompts0020.txt
dataset\audio\F01Session1wav_headMic0021.wav,dataset\prompts\F01Session1prompts0021.txt
dataset\audio\F01Session1wav_headMic0022.wav,dataset\prompts\F01Session1prompts0022.txt
dataset\audio\F01Session1wav_headMic0023.wav,dataset\prompts\F01Session1prompts0023.txt
dataset\audio\F01Session1wav_headMic0024.wav,dataset\prompts\F01Session1prompts0024.txt
dataset\audio\F01Session1wav_headMic0025.wav,dataset\prompts\F01Session1prompts0025.txt
dataset\audio\F01Session1wav_headMic0026.wav,dataset\prompts\F01Session1prompts0026.txt
dataset\audio\F01Session1wav_headMic0027.wav,dataset\prompts\F01Session1prompts0027.txt
dataset\audio\F01Session1wav_headMic0028.wav,dataset\prompts\F01Session1prompts0028.txt
dataset\audio\F01Session1wav_headMic0029.wav,dataset\prompts\F01Session1prompts0029.txt
dataset\audio\F01Session1wav_headMic0030.wav,dataset\prompts\F01Session1prompts0030.txt
dataset\audio\F01Session1wav_headMic0031.wav,dataset\prompts\F01Session1prompts0031.txt
dataset\audio\F01Session1wav_headMic0032.wav,dataset\prompts\F01Session1prompts0032.txt
dataset\audio\F01Session1wav_headMic0033.wav,dataset\prompts\F01Session1prompts0033.txt
dataset\audio\F01Session1wav_headMic0034.wav,dataset\prompts\F01Session1prompts0034.txt
dataset\audio\F01Session1wav_headMic0035.wav,dataset\prompts\F01Session1prompts0035.txt
dataset\audio\F01Session1wav_headMic0036.wav,dataset\prompts\F01Session1prompts0036.txt
dataset\audio\F01Session1wav_headMic0037.wav,dataset\prompts\F01Session1prompts0037.txt
dataset\audio\F01Session1wav_headMic0038.wav,dataset\prompts\F01Session1prompts0038.txt
dataset\audio\F01Session1wav_headMic0039.wav,dataset\prompts\F01Session1prompts0039.txt
dataset\audio\F01Session1wav_headMic0040.wav,dataset\prompts\F01Session1prompts0040.txt
dataset\audio\F01Session1wav_headMic0041.wav,dataset\prompts\F01Session1prompts0041.txt
dataset\audio\F01Session1wav_headMic0042.wav,dataset\prompts\F01Session1prompts0042.txt
dataset\audio\F01Session1wav_headMic0043.wav,dataset\prompts\F01Session1prompts0043.txt
dataset\audio\F01Session1wav_headMic0044.wav,dataset\prompts\F01Session1prompts0044.txt
dataset\audio\F01Session1wav_headMic0045.wav,dataset\prompts\F01Session1prompts0045.txt
dataset\audio\F01Session1wav_headMic0046.wav,dataset\prompts\F01Session1prompts0046.txt
dataset\audio\F01Session1wav_headMic0047.wav,dataset\prompts\F01Session1prompts0047.txt
dataset\audio\F01Session1wav_headMic0048.wav,dataset\prompts\F01Session1prompts0048.txt
dataset\audio\F01Session1wav_headMic0049.wav,dataset\prompts\F01Session1prompts0049.txt
dataset\audio\F01Session1wav_headMic0050.wav,dataset\prompts\F01Session1prompts0050.txt
dataset\audio\F01Session1wav_headMic0051.wav,dataset\prompts\F01Session1prompts0051.txt
dataset\audio\F01Session1wav_headMic0052.wav,dataset\prompts\F01Session1prompts0052.txt
dataset\audio\F01Session1wav_headMic0053.wav,dataset\prompts\F01Session1prompts0053.txt
dataset\audio\F01Session1wav_headMic0054.wav,dataset\prompts\F01Session1prompts0054.txt
dataset\audio\F01Session1wav_headMic0057.wav,dataset\prompts\F01Session1prompts0057.txt
dataset\audio\F01Session1wav_headMic0058.wav,dataset\prompts\F01Session1prompts0058.txt
dataset\audio\F01Session1wav_headMic0059.wav,dataset\prompts\F01Session1prompts0059.txt
dataset\audio\F01Session1wav_headMic0060.wav,dataset\prompts\F01Session1prompts0060.txt
dataset\audio\F01Session1wav_headMic0061.wav,dataset\prompts\F01Session1prompts0061.txt
dataset\audio\F01Session1wav_headMic0062.wav,dataset\prompts\F01Session1prompts0062.txt
dataset\audio\F01Session1wav_headMic0063.wav,dataset\prompts\F01Session1prompts0063.txt
dataset\audio\F01Session1wav_headMic0064.wav,dataset\prompts\F01Session1prompts0064.txt
dataset\audio\F01Session1wav_headMic0065.wav,dataset\prompts\F01Session1prompts0065.txt
dataset\audio\F01Session1wav_headMic0066.wav,dataset\prompts\F01Session1prompts0066.txt
dataset\audio\F01Session1wav_headMic0067.wav,dataset\prompts\F01Session1prompts0067.txt
