audio path,prompt
dataset\audio\F01Session1wav_headMic0006.wav,stick
dataset\audio\F01Session1wav_headMic0008.wav,"Except in the winter when the ooze or snow or ice prevents,"
dataset\audio\F01Session1wav_headMic0009.wav,pat
dataset\audio\F01Session1wav_headMic0010.wav,up
dataset\audio\F01Session1wav_headMic0011.wav,meat
dataset\audio\F01Session1wav_headMic0012.wav,meat
dataset\audio\F01Session1wav_headMic0013.wav,know
dataset\audio\F01Session1wav_headMic0014.wav,he slowly takes a short walk in the open air each day.
dataset\audio\F01Session1wav_headMic0015.wav,air
dataset\audio\F01Session1wav_headMic0016.wav,swarm
dataset\audio\F01Session1wav_headMic0017.wav,double
dataset\audio\F01Session1wav_headMic0018.wav,no
dataset\audio\F01Session1wav_headMic0019.wav,storm
dataset\audio\F01Session1wav_headMic0020.wav,Usually minus several buttons.
dataset\audio\F01Session1wav_headMic0021.wav,dug
dataset\audio\F01Session1wav_headMic0022.wav,You wished to know all about my grandfather.
dataset\audio\F01Session1wav_headMic0024.wav,knee
dataset\audio\F01Session1wav_headMic0025.wav,feet
dataset\audio\F01Session1wav_headMic0026.wav,train
dataset\audio\F01Session1wav_headMic0027.wav,"but he always answers, Banana oil!"
dataset\audio\F01Session1wav_headMic0028.wav,"but he always answers, Banana oil!"
dataset\audio\F01Session1wav_headMic0029.wav,beat
dataset\audio\F01Session1wav_headMic0030.wav,The quick brown fox jumps over the lazy dog.
dataset\audio\F01Session1wav_headMic0031.wav,The quick brown fox jumps over the lazy dog.
dataset\audio\F01Session1wav_headMic0032.wav,She had your dark suit in greasy wash water all year.
dataset\audio\F01Session1wav_headMic0033.wav,car
dataset\audio\F01Session1wav_headMic0034.wav,feet
dataset\audio\F01Session1wav_headMic0035.wav,giving those who observe him a pronounced feeling of the utmost respect.
dataset\audio\F01Session1wav_headMic0036.wav,"We have often urged him to walk more and smoke less,"
dataset\audio\F01Session1wav_headMic0037.wav,rake
dataset\audio\F01Session1wav_headMic0039.wav,swore
dataset\audio\F01Session1wav_headMic0040.wav,rave
dataset\audio\F01Session1wav_headMic0041.wav,rave
dataset\audio\F01Session1wav_headMic0042.wav,for
dataset\audio\F01Session1wav_headMic0043.wav,sip
