audio path,prompt,length
dataset\audio\MC01Session2wav_headMic0061.wav,yes,3
dataset\audio\FC02Session3wav_headMic0330.wav,tug,3
dataset\audio\FC02Session3wav_headMic0363.wav,gas,3
dataset\audio\M01Session2wav_headMic0224.wav,top,3
dataset\audio\FC02Session3wav_headMic0360.wav,sew,3
dataset\audio\FC02Session3wav_headMic0324.wav,eat,3
dataset\audio\FC02Session3wav_headMic0300.wav,rid,3
dataset\audio\FC02Session3wav_headMic0364.wav,dug,3
dataset\audio\MC01Session2wav_headMic0049.wav,pit,3
dataset\audio\MC01Session2wav_headMic0047.wav,shy,3
dataset\audio\FC02Session3wav_headMic0321.wav,see,3
dataset\audio\FC02Session3wav_headMic0355.wav,eat,3
dataset\audio\M01Session2wav_headMic0247.wav,hum,3
dataset\audio\MC03Session1wav_headMic0370.wav,top,3
dataset\audio\MC01Session2wav_headMic0084.wav,nod,3
dataset\audio\M01Session2wav_headMic0265.wav,him,3
dataset\audio\MC01Session2wav_headMic0082.wav,tin,3
dataset\audio\FC02Session3wav_headMic0344.wav,red,3
dataset\audio\MC01Session2wav_headMic0085.wav,ham,3
dataset\audio\FC02Session3wav_headMic0336.wav,lee,3
dataset\audio\FC02Session3wav_headMic0346.wav,yes,3
dataset\audio\M01Session2wav_headMic0228.wav,him,3
dataset\audio\FC02Session3wav_headMic0334.wav,ray,3
dataset\audio\MC03Session1wav_headMic0375.wav,and,3
dataset\audio\MC03Session1wav_headMic0344.wav,him,3
dataset\audio\MC01Session2wav_headMic0055.wav,bed,3
dataset\audio\MC01Session2wav_headMic0056.wav,nut,3
dataset\audio\MC03Session1wav_headMic0378.wav,bit,3
dataset\audio\M01Session2wav_headMic0267.wav,vat,3
dataset\audio\M01Session2wav_headMic0230.wav,fat,3
dataset\audio\FC02Session3wav_headMic0318.wav,sew,3
dataset\audio\MC03Session1wav_headMic0353.wav,six,3
dataset\audio\MC01Session2wav_headMic0065.wav,sip,3
dataset\audio\M04Session2wav_headMic0280.wav,hat,3
dataset\audio\MC01Session2wav_headMic0101.wav,two,3
dataset\audio\FC02Session3wav_headMic0520.wav,pet,3
dataset\audio\FC02Session3wav_headMic0519.wav,wax,3
dataset\audio\FC02Session3wav_headMic0518.wav,lip,3
dataset\audio\FC02Session3wav_headMic0517.wav,lip,3
dataset\audio\FC02Session3wav_headMic0516.wav,are,3
dataset\audio\FC02Session3wav_headMic0507.wav,one,3
dataset\audio\FC02Session3wav_headMic0504.wav,two,3
dataset\audio\MC01Session2wav_headMic0197.wav,eat,3
dataset\audio\M01Session2wav_headMic0118.wav,mut,3
dataset\audio\MC01Session2wav_headMic0194.wav,sew,3
dataset\audio\FC02Session3wav_headMic0498.wav,tea,3
dataset\audio\MC01Session2wav_headMic0190.wav,sew,3
dataset\audio\FC02Session3wav_headMic0494.wav,ape,3
dataset\audio\MC03Session1wav_headMic0224.wav,mut,3
dataset\audio\FC02Session3wav_headMic0492.wav,six,3
dataset\audio\FC02Session3wav_headMic0491.wav,row,3
dataset\audio\MC03Session1wav_headMic0225.wav,tie,3
dataset\audio\MC03Session1wav_headMic0228.wav,pay,3
dataset\audio\MC01Session2wav_headMic0184.wav,tug,3
dataset\audio\MC01Session2wav_headMic0206.wav,eat,3
dataset\audio\FC02Session3wav_headMic0523.wav,hat,3
dataset\audio\FC02Session3wav_headMic0524.wav,aid,3
dataset\audio\M01Session2wav_headMic0102.wav,bat,3
dataset\audio\FC02Session3wav_headMic0574.wav,add,3
dataset\audio\MC03Session1wav_headMic0172.wav,air,3
dataset\audio\MC01Session2wav_headMic0234.wav,yes,3
dataset\audio\MC03Session1wav_headMic0175.wav,pot,3
dataset\audio\FC02Session3wav_headMic0568.wav,lit,3
dataset\audio\MC01Session2wav_headMic0233.wav,yes,3
dataset\audio\FC02Session3wav_headMic0563.wav,ate,3
dataset\audio\FC02Session3wav_headMic0556.wav,ail,3
dataset\audio\M01Session2wav_headMic0075.wav,bad,3
dataset\audio\MC03Session1wav_headMic0234.wav,pat,3
dataset\audio\FC02Session3wav_headMic0553.wav,pit,3
dataset\audio\M01Session2wav_headMic0079.wav,pat,3
dataset\audio\FC02Session3wav_headMic0547.wav,rip,3
dataset\audio\MC01Session2wav_headMic0227.wav,see,3
dataset\audio\M01Session2wav_headMic0081.wav,tie,3
dataset\audio\MC01Session2wav_headMic0226.wav,dug,3
dataset\audio\M01Session2wav_headMic0090.wav,lip,3
dataset\audio\FC02Session3wav_headMic0537.wav,add,3
dataset\audio\MC01Session2wav_headMic0215.wav,sew,3
dataset\audio\M01Session2wav_headMic0100.wav,ate,3
dataset\audio\FC02Session3wav_headMic0551.wav,bun,3
dataset\audio\MC01Session2wav_headMic0183.wav,ray,3
dataset\audio\FC02Session3wav_headMic0476.wav,see,3
dataset\audio\M01Session2wav_headMic0137.wav,ate,3
dataset\audio\MC01Session2wav_headMic0130.wav,sin,3
dataset\audio\FC02Session3wav_headMic0411.wav,fit,3
dataset\audio\FC02Session3wav_headMic0410.wav,ash,3
dataset\audio\M01Session2wav_headMic0190.wav,shy,3
dataset\audio\MC03Session1wav_headMic0288.wav,yes,3
dataset\audio\FC02Session3wav_headMic0406.wav,six,3
dataset\audio\MC03Session1wav_headMic0292.wav,fat,3
dataset\audio\MC01Session2wav_headMic0120.wav,zip,3
dataset\audio\M01Session2wav_headMic0198.wav,hem,3
dataset\audio\MC01Session2wav_headMic0131.wav,sit,3
dataset\audio\M01Session2wav_headMic0201.wav,pit,3
